,imdbID,title,year,n_votes,imdb_rating,budget,box_office,cast,genre,running_time,inflation_factor,budget_adjusted
166,tt8623904,last christmas,2019,14450,6.6,25.0,101.6,4,3,103,0.3921568627450981,9.803921568627452
167,tt9134216,playing with fire,2019,1978,4.6,29.9,53.2,6,1,96,0.3921568627450981,11.725490196078432
168,tt0074899,midway,2019,16446,6.8,100.0,122.1,14,3,138,0.3921568627450981,39.21568627450981
169,tt4729430,klaus,2019,11671,8.4,40.0,,8,3,97,0.3921568627450981,15.686274509803923
170,tt8151874,honey boy,2019,1382,7.0,3.5,2.9,4,1,93,0.3921568627450981,1.3725490196078434
171,tt1950186,ford v ferrari,2019,19585,8.3,97.6,187.0,2,4,152,0.3921568627450981,38.274509803921575
172,tt0160127,charlie's angels,2019,167745,5.5,55.0,57.2,8,3,119,0.3921568627450981,21.568627450980394
173,tt5563334,the good liar,2019,4267,6.5,10.0,28.0,4,4,109,0.3921568627450981,3.9215686274509807
174,tt8236336,the report,2019,5077,7.2,8.0,0.28,8,3,119,0.3921568627450981,3.1372549019607847
175,tt8652728,waves,2019,1107,7.7,,1.5,6,2,135,0.3921568627450981,
176,tt3224458,a beautiful day in the neighborhood,2019,7422,7.9,25.0,51.2,4,2,109,0.3921568627450981,9.803921568627452
177,tt8688634,21 bridges,2019,5153,6.6,33.0,38.4,6,4,99,0.3921568627450981,12.941176470588237
178,tt0109550,dark waters,2019,1599,6.2,,10.3,7,3,126,0.3921568627450981,
179,tt8946378,knives out,2019,1671,6.8,40.0,167.5,11,4,130,0.3921568627450981,15.686274509803923
180,tt3322420,queen & slim,2019,56587,8.2,20.0,34.7,7,3,132,0.3921568627450981,7.843137254901961
181,tt8404614,the two popes,2019,751,7.7,,0.36,2,3,125,0.3921568627450981,
182,tt4199898,playmobil: the movie,2019,827,4.6,40.0,13.7,6,4,99,0.3921568627450981,15.686274509803923
183,tt6141246,the aeronauts,2019,2050,6.6,40.0,3.2,4,3,100,0.3921568627450981,15.686274509803923
184,tt8745960,daniel isn't real,2019,877,6.0,,,7,3,100,0.3921568627450981,
185,tt7975244,jumanji: the next level,2019,18512,7.0,132.0,232.4,12,4,123,0.3921568627450981,51.76470588235295
186,tt3513548,richard jewell,2019,2526,7.7,45.0,7.0,5,2,129,0.3921568627450981,17.647058823529413
187,tt0071222,black christmas,2019,29449,7.2,5.0,8.5,6,4,92,0.3921568627450981,1.9607843137254903
188,tt8106534,6 underground,2019,34632,6.2,150.0,,8,4,128,0.3921568627450981,58.82352941176471
189,tt0023825,bombshell,2019,2020,7.3,32.0,0.41,8,3,108,0.3921568627450981,12.549019607843139
190,tt5727208,uncut gems,2019,6447,8.1,,2.2,12,2,135,0.3921568627450981,
191,tt1780967,seberg,2019,799,4.7,8.0,,6,4,102,0.3921568627450981,3.1372549019607847
192,tt5827916,a hidden life,2019,1509,7.6,9.0,0.47,3,4,174,0.3921568627450981,3.5294117647058827
193,tt0173714,cats,2019,3645,7.7,95.0,,9,2,110,0.3921568627450981,37.254901960784316
194,tt5814534,spies in disguise,2019,165,6.5,,,2,5,102,0.3921568627450981,
195,tt0110367,little women,2019,45297,7.3,40.0,,12,2,135,0.3921568627450981,15.686274509803923
196,tt8579674,1917,2019,401,8.6,100.0,,8,3,119,0.3921568627450981,39.21568627450981
197,tt4916630,just mercy,2019,574,5.7,,,6,1,136,0.3921568627450981,
198,tt5577494,clemency,2019,286,5.9,,,7,1,113,0.3921568627450981,
199,tt7334342,dirty god,2019,601,6.5,,,1,1,90,0.3921568627450981,
200,tt8530978,beats,2019,3194,6.4,,,11,1,110,0.3921568627450981,
201,tt7802246,the last tree,2019,210,6.9,,,1,1,100,0.3921568627450981,
202,tt7533152,the boy who harnessed the wind,2019,15111,7.6,,,1,1,113,0.3921568627450981,
203,tt6198946,the hole in the ground,2019,9938,5.7,,,5,2,90,0.3921568627450981,
204,tt0475323,the lodge,2019,1196,3.9,,,5,2,100,0.3921568627450981,
205,tt5342950,the wolf hour,2019,841,4.8,,,6,4,99,0.3921568627450981,
206,tt3297554,animals,2019,838,6.3,,,1,1,109,0.3921568627450981,
207,tt6515910,the kindness of strangers,2019,201,5.5,,0.0,6,1,112,0.3921568627450981,
208,tt1438173,bait,2019,15239,5.2,,,4,3,89,0.3921568627450981,
209,tt3486080,lancaster skies,2019,973,4.8,0.1,,3,3,98,0.3921568627450981,0.03921568627450981
210,tt9056818,last breath,2019,2331,7.7,,,,1,0,0.3921568627450981,
211,tt7759300,pink wall,2019,163,5.9,,,2,2,85,0.3921568627450981,
212,tt6916348,the warrior queen of jhansi,2019,208,3.8,,0.17,3,2,104,0.3921568627450981,
213,tt7078658,the day shall come,2019,1872,5.8,,0.5,6,2,88,0.3921568627450981,
