,imdbID,budget,cast_size,gross,imdb_rating,n_votes,runtime,title,year
1695,tt0103874,40.0,4,82.52,7.4,178532,128.0,Dracula,1992
1696,tt0187738,54.0,6,155.0,6.7,190544,117.0,Blade II,2002
1697,tt0383216,80.0,4,82.23,5.6,77415,93.0,The Pink Panther,2006
1698,tt0327554,100.0,6,82.1,3.3,104901,104.0,Catwoman,2004
1699,tt0253556,60.0,4,82.2,6.2,121272,102.0,Reign of Fire,2002
1700,tt1142977,39.0,7,82.0,6.9,91712,87.0,Frankenweenie,2012
1701,tt0095631,35.0,6,81.6,7.5,66420,126.0,Midnight Run,1988
1702,tt0465494,35.0,6,82.3,6.3,155714,96.0,Hitman(I) ,2007
1703,tt2679042,35.0,6,82.3,5.7,81973,96.0,Hitman: Agent 47,2015
1704,tt0203019,32.0,8,82.343495,7.2,102502,129.0,Men of Honor,2000
1705,tt0127536,30.0,6,82.1,7.4,87475,123.0,Elizabeth,1998
1706,tt0387131,25.0,5,82.4,7.4,127146,129.0,The Constant Gardener,2005
1707,tt0101787,18.0,5,82.264675,6.0,14082,111.0,Dying Young,1991
1708,tt0114885,16.0,4,82.0,5.9,8940,124.0,Waiting to Exhale,1995
1709,tt0077663,15.0,8,98.8,6.9,17283,101.0,Heaven Can Wait,1978
1710,tt0482606,9.0,2,82.4,6.2,112416,85.0,The Strangers,2008
1711,tt0064757,7.0,6,82.0,6.7,73686,142.0,On Her Majesty's Secret Service,1969
1712,tt0066026,3.025,7,81.6,7.5,64344,116.0,MASH,1970
1713,tt0120784,90.0,4,81.53,7.1,126385,100.0,Payback(I) ,1999
1714,tt1226273,80.0,4,81.1,6.6,85987,117.0,Edge of Darkness,2010
1715,tt0165982,60.0,4,80.8,6.7,45910,86.0,Sinbad: Legend of the Seven Seas,2003
1716,tt0467200,35.0,9,80.7,6.7,98636,115.0,The Other Boleyn Girl,2008
1717,tt3717252,35.0,11,81.1,5.8,64873,91.0,Underworld: Blood Wars,2016
1718,tt0119313,30.0,3,81.471882,6.0,23088,115.0,Hope Floats,1998
1719,tt0100514,22.0,4,81.0,5.9,24019,128.0,The Rookie,1990
1720,tt0265662,22.0,4,81.0,6.9,30516,128.0,The Rookie,2002
1721,tt1340800,21.0,8,80.6,7.1,177700,127.0,Tinker Tailor Soldier Spy,2011
1722,tt0068617,16.0,5,81.0,5.5,1435,92.0,Fuzz,1972
1723,tt0425112,16.0,3,80.7,7.8,436288,121.0,Hot Fuzz,2007
1724,tt0093565,15.0,5,80.6,7.1,45097,102.0,Moonstruck,1987
1725,tt0780504,15.0,7,81.4,7.8,534440,100.0,Drive(I) ,2011
1726,tt6593054,15.0,7,81.4,2.4,2540,100.0,Drive(I) ,2018
1727,tt0780504,15.0,7,81.0,7.8,532398,100.0,drive,2011
1728,tt1591479,12.0,4,81.3,6.5,64372,111.0,Act of Valor,2012
1729,tt0450278,5.0,5,81.0,5.9,161993,94.0,Hostel,2005
1730,tt0879870,60.0,6,204.6,5.8,80665,133.0,Eat Pray Love,2010
1731,tt0067093,9.0,5,83.3,8.0,36131,179.0,Fiddler on the Roof,1971
1732,tt0313542,60.0,4,80.2,7.1,86863,127.0,Runaway Jury,2003
1733,tt2281587,51.0,3,80.4,6.4,29630,107.0,Muppets Most Wanted,2014
1734,tt0181536,43.0,5,80.049764,7.3,79844,136.0,Finding Forrester,2000
1735,tt0242445,33.0,2,79.9,5.6,30860,102.0,Exit Wounds,2001
1736,tt1259528,30.0,4,80.5,7.0,76010,140.0,Den of Thieves,2018
1737,tt0091129,25.0,3,79.8,6.0,48237,94.0,The Golden Child,1986
1738,tt0105698,23.0,5,80.0,6.0,78861,102.0,Universal Soldier,1992
1739,tt0101764,15.0,4,80.5,5.6,35813,107.0,Double Impact,1991
1740,tt0086567,12.0,4,79.6,7.1,85248,114.0,WarGames,1983
1741,tt0087277,8.0,4,80.0,6.6,65034,110.0,Footloose,1984
1742,tt1068242,8.0,4,80.0,5.9,44063,110.0,Footloose,2011
1743,tt0071455,7.0,10,80.0,5.9,12856,121.0,Earthquake,1974
1744,tt0090142,1.2,6,80.0,6.1,42794,92.0,Teen Wolf,1985
1745,tt1114677,30.0,4,79.57,4.4,37627,102.0,Hannah Montana: The Movie,2009
1746,tt1219289,27.0,4,79.25,7.4,502442,45.0,Limitless(I) ,2011
