,imdbID,title,year,n_votes,imdb_rating,budget,box_office,cast,running_time
1283,tt0986263,surrogates,2009,164588,6.3,80.0,122.4,7,89
1284,tt0116253,executive decision,1996,47809,6.4,55.0,122.1,7,133
1285,tt1392214,prisoners,2013,545396,8.1,46.0,122.1,7,153
1286,tt0119715,mousehunt,1997,48619,6.4,38.0,122.4,4,98
1287,tt0396752,nanny mcphee,2005,63094,6.5,25.0,122.4,3,97
1288,tt0113855,mortal kombat,1995,95528,5.8,18.0,122.1,6,101
1289,tt0091187,heartbreak ridge,1986,37147,6.9,15.0,121.7,2,130
1290,tt2268016,magic mike xxl,2015,49468,5.6,14.8,122.5,11,115
1291,tt0084516,poltergeist,1982,131862,7.3,10.7,121.7,3,114
1292,tt0829482,superbad,2007,493081,7.6,20.0,169.9,8,113
1293,tt0120201,starship troopers,1997,255280,7.2,105.0,121.2,7,129
1294,tt7401588,instant family,2018,57926,7.3,48.0,120.6,7,118
1295,tt0102492,my girl,1991,67503,6.9,17.0,121.0,5,102
1296,tt0361748,inglourious basterds,2009,1165905,8.3,70.0,321.5,8,153
1297,tt0138524,intolerable cruelty,2003,86570,6.2,60.0,120.2,7,100
1298,tt0109254,beverly hills cop iii,1994,72199,5.6,50.0,119.5,4,104
1299,tt1389137,we bought a zoo,2011,128697,7.1,50.0,120.1,8,124
1300,tt0100507,rocky v,1990,119931,5.3,42.0,119.9,6,104
1301,tt0397313,eight below,2006,57326,7.3,40.0,120.5,4,120
1303,tt0287717,spy kids 2: island of lost dreams,2002,56603,5.1,38.0,119.7,10,100
1304,tt0093058,full metal jacket,1987,628975,8.3,30.0,120.0,8,116
1305,tt0366627,the jacket,2005,104724,7.1,29.0,21.1,7,103
1306,tt4052882,the shallows,2016,111202,6.3,25.0,119.1,1,86
1308,tt0215129,road trip,2000,151054,6.4,16.0,119.8,8,94
1309,tt0071230,blazing saddles,1974,118529,7.7,2.6,119.6,8,93
1310,tt0110475,the mask,1994,322412,6.9,23.0,351.6,6,101
1311,tt0472062,charlie wilson's war,2007,102881,7.0,75.0,119.0,4,100
1312,tt0758774,body of lies,2008,203359,7.1,70.0,118.6,6,128
1313,tt0250797,unfaithful,2002,75038,6.7,50.0,119.0,3,124
1314,tt0082846,on golden pond,1981,25823,7.6,15.0,119.3,6,109
1315,tt0101921,fried green tomatoes,1991,62815,7.7,11.0,119.4,5,136
1316,tt0944835,salt,2010,281208,6.4,110.0,293.5,6,104
1317,tt0074899,midway,1976,16446,6.8,100.0,121.9,14,138
1319,tt0139462,message in a bottle,1999,33856,6.2,80.0,118.0,6,131
1320,tt0120844,star trek: insurrection,1998,66571,6.4,70.0,117.8,10,103
1321,tt0183790,a knight's tale,2001,160912,6.9,65.0,117.5,5,132
1322,tt4501244,why him?,2016,93269,6.2,52.0,118.1,7,111
1323,tt1156398,zombieland,2009,485390,7.6,48.0,120.5,9,99
1324,tt0109446,the client,1994,55791,6.7,45.0,117.6,6,121
1326,tt0356618,the forgotten,2004,62388,5.8,42.0,117.6,6,91
1328,tt0181316,blue streak,1999,70470,6.3,36.0,117.7,6,93
1329,tt0111280,star trek generations,1994,71899,6.6,35.0,118.0,1,118
1331,tt0486822,disturbia,2007,210537,6.8,20.0,117.8,4,105
1332,tt0106375,beethoven's 2nd,1993,23991,4.9,15.0,118.24,4,89
1333,tt0133952,the siege,1998,65715,6.4,70.0,116.7,6,116
1334,tt0121164,corpse bride,2005,228755,7.3,40.0,117.2,2,77
1335,tt0106701,dennis the menace,1993,52241,5.6,35.0,117.2,6,96
1336,tt0308644,finding neverland,2004,192788,7.7,25.0,116.8,5,101
1337,tt1611224,abraham lincoln: vampire hunter,2012,144868,5.9,99.5,116.4,6,105
1338,tt0112641,casino,1995,425566,8.2,50.0,116.1,6,178
1339,tt0108162,sliver,1993,27129,5.0,40.0,123.9,4,107
1340,tt0082818,nightmare,1964,2731,5.8,35.0,115.6,6,90
1341,tt0082818,nightmare,1981,2731,5.8,35.0,115.6,6,90
1342,tt0332280,the notebook,2004,487490,7.8,29.0,115.6,7,124
1343,tt0066995,diamonds are forever,1971,88725,6.6,7.2,116.0,6,120
1344,tt0296572,the chronicles of riddick,2004,206989,6.7,38.0,98.3,8,119
1346,tt0116136,dragonheart,1996,87539,6.5,57.0,115.3,6,103
1347,tt0075922,the house by the lake,1976,771,6.2,40.0,115.0,5,105
1348,tt0410297,the lake house,2006,132518,6.8,40.0,115.0,5,105
1349,tt0281373,snow dogs,2002,24011,5.1,33.0,115.0,5,99
1350,tt0080455,the blues brothers,1980,171057,7.9,30.0,115.2,8,133
1351,tt0113161,get shorty,1995,72423,6.9,30.0,115.0,4,105
1352,tt0329101,freddy vs. jason,2003,105632,5.7,30.0,114.9,6,98
1353,tt0901476,bride wars,2009,96129,5.5,30.0,114.7,4,89
1355,tt1981677,pitch perfect,2012,261840,7.2,91.0,565.0,21,320
1356,tt0091326,the karate kid part ii,1986,67502,6.0,13.0,115.1,2,113
1357,tt0089822,police academy 2: their first assignment,1985,48116,5.8,7.5,115.0,11,87
1358,tt1007029,the iron lady,2011,98063,6.4,8.2,115.0,5,104
1359,tt0166485,anna and the king,1999,34548,6.7,92.0,114.0,3,142
1360,tt0113492,judge dredd,1995,105287,5.6,90.0,113.5,7,96
1361,tt0102266,the last boy scout,1991,88129,7.0,75.0,114.0,6,105
1362,tt0278504,insomnia,1997,258809,7.2,46.0,113.7,7,118
1363,tt0278504,insomnia,2002,258809,7.2,46.0,113.7,7,118
1364,tt0200550,coyote ugly,2000,102307,5.7,45.0,113.9,7,101
1365,tt1711525,office christmas party,2016,61851,5.8,45.0,114.5,11,105
1366,tt0462590,step up,2006,105439,6.5,12.0,114.2,6,103
1367,tt1132626,saw v,2008,109185,5.8,10.8,113.9,8,92
1368,tt1648190,the dark tower,2017,116221,5.6,66.0,113.2,8,95
1369,tt0824747,changeling,2008,226527,7.7,55.0,113.0,2,142
1370,tt0117765,striptease,1996,40792,4.5,50.0,113.0,5,117
1371,tt0462499,rambo,2008,208795,7.0,50.0,113.2,8,91
1372,tt0381707,white chicks,2004,122133,5.6,37.0,113.1,6,109
1373,tt0114508,species,1995,70669,5.8,35.0,113.3,6,108
1374,tt3195644,insidious: chapter 3,2015,85980,6.1,11.0,113.0,5,98
1375,tt2561572,get hard,2015,114011,6.0,44.0,111.8,5,100
1376,tt1292566,how to be single,2016,76059,6.1,38.0,112.3,4,110
